Lon Lat Count
129.154 30.1471 0
129.154 30.4456 0
129.154 30.7442 0
129.154 31.0428 0
129.154 31.3414 0
129.154 31.6399 0
129.154 31.9385 0
129.154 32.2371 3
129.154 32.5357 24
129.154 32.8342 21
129.154 33.1328 21
129.154 33.4314 31
129.154 33.7299 6
129.154 34.0285 0
129.154 34.3271 0
129.154 34.6257 0
129.154 34.9242 0
129.154 35.2228 0
129.154 35.5214 0
129.154 35.82 0
129.154 36.1185 0
129.154 36.4171 0
129.154 36.7157 0
129.154 37.0143 0
129.154 37.3128 0
129.154 37.6114 0
129.154 37.91 0
129.154 38.2086 0
129.154 38.5071 0
129.154 38.8057 0
129.154 39.1043 0
129.154 39.4029 0
129.154 39.7014 0
129.154 40 0
129.154 40.2986 0
129.154 40.5971 0
129.154 40.8957 0
129.154 41.1943 0
129.154 41.4929 0
129.154 41.7914 0
129.154 42.09 0
129.154 42.3886 0
129.154 42.6872 0
129.154 42.9857 0
129.154 43.2843 0
129.154 43.5829 0
129.154 43.8815 0
129.154 44.18 0
129.154 44.4786 0
129.154 44.7772 0
129.154 45.0758 0
129.154 45.3743 0
129.154 45.6729 0
129.154 45.9715 0
129.154 46.2701 0
129.154 46.5686 0
129.154 46.8672 0
129.154 47.1658 0
129.154 47.4643 0
129.154 47.7629 0
129.154 48.0615 0
129.154 48.3601 0
129.154 48.6586 0
129.154 48.9572 0
129.154 49.2558 0
129.154 49.5544 0
129.154 49.8529 0
129.468 30.1471 0
129.468 30.4456 0
129.468 30.7442 0
129.468 31.0428 0
129.468 31.3414 0
129.468 31.6399 6
129.468 31.9385 18
129.468 32.2371 34
129.468 32.5357 71
129.468 32.8342 44
129.468 33.1328 34
129.468 33.4314 45
129.468 33.7299 18
129.468 34.0285 1
129.468 34.3271 0
129.468 34.6257 0
129.468 34.9242 0
129.468 35.2228 0
129.468 35.5214 0
129.468 35.82 0
129.468 36.1185 0
129.468 36.4171 0
129.468 36.7157 0
129.468 37.0143 0
129.468 37.3128 0
129.468 37.6114 0
129.468 37.91 0
129.468 38.2086 0
129.468 38.5071 0
129.468 38.8057 0
129.468 39.1043 0
129.468 39.4029 0
129.468 39.7014 0
129.468 40 0
129.468 40.2986 0
129.468 40.5971 0
129.468 40.8957 0
129.468 41.1943 0
129.468 41.4929 0
129.468 41.7914 0
129.468 42.09 0
129.468 42.3886 0
129.468 42.6872 0
129.468 42.9857 0
129.468 43.2843 0
129.468 43.5829 0
129.468 43.8815 0
129.468 44.18 0
129.468 44.4786 0
129.468 44.7772 0
129.468 45.0758 0
129.468 45.3743 0
129.468 45.6729 0
129.468 45.9715 0
129.468 46.2701 0
129.468 46.5686 0
129.468 46.8672 0
129.468 47.1658 0
129.468 47.4643 0
129.468 47.7629 0
129.468 48.0615 0
129.468 48.3601 0
129.468 48.6586 0
129.468 48.9572 0
129.468 49.2558 0
129.468 49.5544 0
129.468 49.8529 0
129.781 30.1471 0
129.781 30.4456 0
129.781 30.7442 0
129.781 31.0428 7
129.781 31.3414 17
129.781 31.6399 50
129.781 31.9385 52
129.781 32.2371 93
129.781 32.5357 117
129.781 32.8342 163
129.781 33.1328 35
129.781 33.4314 41
129.781 33.7299 28
129.781 34.0285 6
129.781 34.3271 0
129.781 34.6257 0
129.781 34.9242 0
129.781 35.2228 0
129.781 35.5214 0
129.781 35.82 0
129.781 36.1185 0
129.781 36.4171 0
129.781 36.7157 0
129.781 37.0143 0
129.781 37.3128 0
129.781 37.6114 0
129.781 37.91 0
129.781 38.2086 0
129.781 38.5071 0
129.781 38.8057 0
129.781 39.1043 0
129.781 39.4029 0
129.781 39.7014 0
129.781 40 0
129.781 40.2986 0
129.781 40.5971 0
129.781 40.8957 0
129.781 41.1943 0
129.781 41.4929 0
129.781 41.7914 0
129.781 42.09 0
129.781 42.3886 0
129.781 42.6872 0
129.781 42.9857 0
129.781 43.2843 0
129.781 43.5829 0
129.781 43.8815 0
129.781 44.18 0
129.781 44.4786 0
129.781 44.7772 0
129.781 45.0758 0
129.781 45.3743 0
129.781 45.6729 0
129.781 45.9715 0
129.781 46.2701 0
129.781 46.5686 0
129.781 46.8672 0
129.781 47.1658 0
129.781 47.4643 0
129.781 47.7629 0
129.781 48.0615 0
129.781 48.3601 0
129.781 48.6586 0
129.781 48.9572 0
129.781 49.2558 0
129.781 49.5544 0
129.781 49.8529 0
130.095 30.1471 0
130.095 30.4456 3
130.095 30.7442 25
130.095 31.0428 27
130.095 31.3414 125
130.095 31.6399 86
130.095 31.9385 70
130.095 32.2371 110
130.095 32.5357 229
130.095 32.8342 337
130.095 33.1328 157
130.095 33.4314 80
130.095 33.7299 71
130.095 34.0285 32
130.095 34.3271 2
130.095 34.6257 0
130.095 34.9242 0
130.095 35.2228 0
130.095 35.5214 0
130.095 35.82 0
130.095 36.1185 0
130.095 36.4171 0
130.095 36.7157 0
130.095 37.0143 0
130.095 37.3128 0
130.095 37.6114 0
130.095 37.91 0
130.095 38.2086 0
130.095 38.5071 0
130.095 38.8057 0
130.095 39.1043 0
130.095 39.4029 0
130.095 39.7014 0
130.095 40 0
130.095 40.2986 0
130.095 40.5971 0
130.095 40.8957 0
130.095 41.1943 0
130.095 41.4929 0
130.095 41.7914 0
130.095 42.09 0
130.095 42.3886 0
130.095 42.6872 0
130.095 42.9857 0
130.095 43.2843 0
130.095 43.5829 0
130.095 43.8815 0
130.095 44.18 0
130.095 44.4786 0
130.095 44.7772 0
130.095 45.0758 0
130.095 45.3743 0
130.095 45.6729 0
130.095 45.9715 0
130.095 46.2701 0
130.095 46.5686 0
130.095 46.8672 0
