evmag,evlat,evlon,evdep,m_rr,m_tt,m_pp,m_rt,m_rp,m_tp
5.25,54.54,-162.02,54.3,-6.171e+23,7.487e+23,-1.315e+23,2.982e+23,3.587e+23,5.04e+23
5.75,43.66,-130.67,15.0,-3e+22,-4.56e+24,4.589e+24,1.975e+24,4.86e+23,-1.724e+24
5.98,8.84,-82.88,22.4,9.585e+24,-5.604e+24,-3.981e+24,6.002e+24,-1.117e+24,5.186e+24
5.37,6.93,-77.78,15.0,4.42e+23,-2.47e+23,-1.95e+23,2e+22,-1.322e+24,4.28e+23
5.67,10.62,-61.88,106.3,-1.652e+24,2.045e+24,-3.92e+23,1.595e+24,1.19e+24,-3.041e+24
5.05,2.55,-84.32,15.0,-4.701e+23,4.168e+23,5.33e+22,0.0,0.0,1.383e+23
6.07,16.61,-86.65,40.2,8.3e+23,-1.144e+25,1.061e+25,-8.22e+24,1.29e+24,8.54e+24
6.32,16.71,-86.95,38.2,-4.7e+23,-2.6e+25,2.646e+25,-2.3e+25,1.1999999999999999e+24,1.7599999999999998e+25
5.43,52.35,-173.68,15.0,2.61e+23,1.01e+23,-3.61e+23,1.656e+24,5.35e+23,-2.62e+23
6.52,7.4,-75.97,15.0,-3.27e+24,-5.13e+24,8.399999999999999e+24,-8.73e+24,-7.127e+25,-2.023e+25
5.66,12.27,-88.22,42.3,3.509e+24,-3.301e+24,-2.07e+23,2.79e+23,-1.54e+23,1.905e+24
5.49,13.46,-92.16,15.0,1.04e+24,-1.355e+24,3.15e+23,6.55e+23,-1.511e+24,6.21e+23
5.81,20.26,-109.75,15.0,-3.539e+24,-9.91e+23,4.531e+24,1.635e+24,-4.89e+24,5.34e+23
5.77,10.87,-85.67,46.7,8.77e+23,-2.431e+24,1.555e+24,3.551e+24,-3.701e+24,9.82e+23
5.24,10.16,-61.99,21.0,-3.379e+23,2.078e+23,1.301e+23,1.26e+22,4.674e+23,-7.206e+23
5.23,7.58,-73.17,169.3,-3.869e+23,1.03e+23,2.839e+23,3.771e+23,-7.318e+23,7.83e+22
6.8,51.08,-176.0,37.7,1.0579999999999999e+26,-7.689999999999999e+25,-2.89e+25,1.3579999999999998e+26,1.0339999999999998e+26,-4.74e+25
5.87,51.47,-175.41,32.2,4.81e+24,-4.523e+24,-2.87e+23,4.885e+24,3.476e+24,-2.651e+24
5.98,51.53,-175.57,38.4,7.55e+24,-6.199e+24,-1.35e+24,7.126e+24,5.135e+24,-3.763e+24
5.99,29.07,-113.1,15.0,1.66e+24,-1.208e+25,1.042e+25,5.9e+23,4.72e+24,1e+24
5.21,39.2,-124.35,15.0,-2.39e+22,-6.499e+23,6.738e+23,0.0,0.0,4.865e+23
5.97,52.18,-171.48,44.4,8.607e+24,-8.079e+24,-5.27e+23,7.057e+24,-1.708e+24,-2.018e+24
5.34,58.09,-154.43,133.7,4.14e+23,-1.27e+24,8.56e+23,-1.56e+23,4.93e+23,-2.91e+23
5.45,10.0,-69.61,18.0,1.998e+24,-3.79e+23,-1.62e+24,1.48e+23,4.55e+23,1.23e+23
6.38,17.37,-54.82,10.0,2.419e+25,-5.478e+25,3.059e+25,-1.137e+25,-7.09e+24,4.14e+24
5.61,52.49,-169.65,25.7,1.435e+24,-4.33e+23,-1.002e+24,3.44e+23,2.651e+24,-1.478e+24
