#depth variance  VR       nsta
  5  1.745e-05  2.237e+01   6
#mxx        mxy        mxz        myy        myz        mzz
 8.510e+23  1.147e+24  8.502e+23 -8.581e+23 -3.604e+23  7.136e+21
#st1 rk1 dp1 st2 rk2 dp2
252 -147  89 161  -1  57
#pdc pclvd piso
 92   8   0

#filename
DCZ.data
#dt   npts  dist   Az   Zcor VR
1.000  120  97.8 195.2   59 -2.696e+01
#data T          R          Z    synth T          R          Z
-7.812e-04  2.020e-03 -1.407e-04 -2.312e-05  2.541e-04 -1.510e-04
-6.640e-04  1.750e-03 -4.700e-04  1.032e-05  2.528e-04 -2.063e-04
-4.825e-04  1.364e-03 -7.048e-04  4.912e-05  2.493e-04 -2.440e-04
-2.615e-04  9.098e-04 -8.355e-04  8.820e-05  2.400e-04 -2.624e-04
-2.604e-05  4.380e-04 -8.630e-04  1.232e-04  2.223e-04 -2.612e-04
 1.999e-04 -6.260e-06 -7.970e-04  1.508e-04  1.950e-04 -2.420e-04
 3.960e-04 -3.856e-04 -6.549e-04  1.687e-04  1.581e-04 -2.074e-04
 5.463e-04 -6.723e-04 -4.593e-04  1.757e-04  1.125e-04 -1.609e-04
 6.402e-04 -8.507e-04 -2.351e-04  1.715e-04  5.991e-05 -1.064e-04
 6.731e-04 -9.163e-04 -7.643e-06  1.571e-04  2.769e-06 -4.801e-05
 6.458e-04 -8.755e-04  2.002e-04  1.338e-04 -5.630e-05  1.044e-05
 5.642e-04 -7.436e-04  3.695e-04  1.035e-04 -1.145e-04  6.548e-05
 4.380e-04 -5.427e-04  4.870e-04  6.863e-05 -1.693e-04  1.143e-04
 2.799e-04 -2.984e-04  5.454e-04  3.146e-05 -2.184e-04  1.546e-04
 1.043e-04 -3.799e-05  5.436e-04 -5.714e-06 -2.598e-04  1.853e-04
-7.443e-05  2.133e-04  4.863e-04 -4.086e-05 -2.922e-04  2.055e-04
-2.426e-04  4.332e-04  3.830e-04 -7.227e-05 -3.148e-04  2.154e-04
-3.886e-04  6.050e-04  2.463e-04 -9.866e-05 -3.272e-04  2.156e-04
-5.034e-04  7.178e-04  9.087e-05 -1.192e-04 -3.297e-04  2.072e-04
-5.810e-04  7.674e-04 -6.808e-05 -1.335e-04 -3.229e-04  1.917e-04
-6.189e-04  7.553e-04 -2.165e-04 -1.414e-04 -3.078e-04  1.706e-04
-6.175e-04  6.885e-04 -3.425e-04 -1.435e-04 -2.855e-04  1.457e-04
-5.805e-04  5.779e-04 -4.370e-04 -1.402e-04 -2.574e-04  1.187e-04
-5.135e-04  4.375e-04 -4.946e-04 -1.324e-04 -2.251e-04  9.119e-05
-4.241e-04  2.821e-04 -5.136e-04 -1.211e-04 -1.898e-04  6.443e-05
-3.208e-04  1.266e-04 -4.955e-04 -1.072e-04 -1.530e-04  3.956e-05
-2.119e-04 -1.580e-05 -4.449e-04 -9.159e-05 -1.159e-04  1.744e-05
-1.056e-04 -1.343e-04 -3.686e-04 -7.526e-05 -7.974e-05 -1.396e-06
-8.918e-06 -2.216e-04 -2.746e-04 -5.896e-05 -4.536e-05 -1.666e-05
 7.274e-05 -2.739e-04 -1.717e-04 -4.332e-05 -1.358e-05 -2.831e-05
 1.356e-04 -2.912e-04 -6.823e-05 -2.882e-05  1.498e-05 -3.654e-05
 1.777e-04 -2.767e-04  2.825e-05 -1.580e-05  3.988e-05 -4.169e-05
 1.989e-04 -2.364e-04  1.117e-04 -4.471e-06  6.085e-05 -4.425e-05
 2.004e-04 -1.779e-04  1.777e-04  5.094e-06  7.778e-05 -4.476e-05
 1.851e-04 -1.103e-04  2.239e-04  1.291e-05  9.068e-05 -4.381e-05
 1.565e-04 -4.220e-05  2.495e-04  1.909e-05  9.973e-05 -4.196e-05
 1.189e-04  1.836e-05  2.557e-04  2.377e-05  1.052e-04 -3.974e-05
 7.678e-05  6.498e-05  2.447e-04  2.715e-05  1.075e-04 -3.756e-05
 3.439e-05  9.314e-05  2.200e-04  2.943e-05  1.070e-04 -3.574e-05
-4.298e-06  1.008e-04  1.855e-04  3.080e-05  1.042e-04 -3.446e-05
-3.602e-05  8.794e-05  1.455e-04  3.146e-05  9.971e-05 -3.379e-05
-5.836e-05  5.694e-05  1.039e-04  3.157e-05  9.398e-05 -3.365e-05
-6.982e-05  1.166e-05  6.424e-05  3.127e-05  8.748e-05 -3.388e-05
-6.991e-05 -4.271e-05  2.938e-05  3.069e-05  8.062e-05 -3.421e-05
-5.912e-05 -1.005e-04  1.156e-06  2.989e-05  7.369e-05 -3.435e-05
-3.878e-05 -1.560e-04 -1.947e-05  2.895e-05  6.691e-05 -3.396e-05
-1.094e-05 -2.040e-04 -3.247e-05  2.790e-05  6.035e-05 -3.278e-05
 2.183e-05 -2.406e-04 -3.859e-05  2.674e-05  5.401e-05 -3.057e-05
 5.674e-05 -2.631e-04 -3.913e-05  2.548e-05  4.777e-05 -2.721e-05
 9.094e-05 -2.701e-04 -3.572e-05  2.409e-05  4.147e-05 -2.271e-05
 1.218e-04 -2.620e-04 -3.002e-05  2.255e-05  3.491e-05 -1.719e-05
 1.470e-04 -2.402e-04 -2.349e-05  2.082e-05  2.792e-05 -1.093e-05
 1.649e-04 -2.072e-04 -1.722e-05  1.888e-05  2.037e-05 -4.303e-06
 1.742e-04 -1.661e-04 -1.182e-05  1.669e-05  1.225e-05  2.250e-06
 1.746e-04 -1.201e-04 -7.441e-06  1.425e-05  3.621e-06  8.244e-06

#filename
EAZ.data
#dt   npts  dist   Az   Zcor VR
1.000  120 159.6 116.0   71 -1.022e+01
#data T          R          Z    synth T          R          Z
-6.713e-05  6.280e-05  1.510e-03 -5.730e-06 -4.878e-04  2.506e-04
-1.600e-04  5.558e-04  1.713e-03 -2.973e-06 -4.957e-04  2.647e-04
-2.563e-04  1.085e-03  1.820e-03 -5.954e-07 -4.769e-04  2.821e-04
-3.481e-04  1.625e-03  1.809e-03  1.068e-06 -4.261e-04  3.042e-04
-4.270e-04  2.143e-03  1.661e-03  1.682e-06 -3.398e-04  3.318e-04
-4.843e-04  2.607e-03  1.371e-03  9.413e-07 -2.160e-04  3.650e-04
-5.123e-04  2.985e-03  9.402e-04 -1.389e-06 -5.566e-05  4.027e-04
-5.047e-04  3.247e-03  3.853e-04 -5.436e-06  1.379e-04  4.426e-04
-4.575e-04  3.369e-03 -2.667e-04 -1.118e-05  3.581e-04  4.812e-04
-3.693e-04  3.333e-03 -9.783e-04 -1.843e-05  5.953e-04  5.137e-04
-2.422e-04  3.131e-03 -1.703e-03 -2.678e-05  8.370e-04  5.340e-04
-8.155e-05  2.761e-03 -2.390e-03 -3.563e-05  1.068e-03  5.354e-04
 1.039e-04  2.236e-03 -2.985e-03 -4.417e-05  1.272e-03  5.105e-04
 3.027e-04  1.576e-03 -3.440e-03 -5.140e-05  1.430e-03  4.522e-04
 5.011e-04  8.102e-04 -3.710e-03 -5.623e-05  1.527e-03  3.541e-04
 6.842e-04 -2.537e-05 -3.767e-03 -5.749e-05  1.547e-03  2.116e-04
 8.370e-04 -8.892e-04 -3.592e-03 -5.409e-05  1.478e-03  2.212e-05
 9.455e-04 -1.737e-03 -3.187e-03 -4.504e-05  1.314e-03 -2.136e-04
 9.982e-04 -2.526e-03 -2.569e-03 -2.967e-05  1.054e-03 -4.911e-04
 9.869e-04 -3.216e-03 -1.776e-03 -7.663e-06  7.054e-04 -8.020e-04
 9.078e-04 -3.770e-03 -8.578e-04  2.078e-05  2.836e-04 -1.133e-03
 7.620e-04 -4.161e-03  1.232e-04  5.487e-05 -1.878e-04 -1.468e-03
 5.555e-04 -4.369e-03  1.098e-03  9.320e-05 -6.777e-04 -1.785e-03
 2.994e-04 -4.381e-03  1.999e-03  1.337e-04 -1.148e-03 -2.062e-03
 8.812e-06 -4.198e-03  2.760e-03  1.736e-04 -1.557e-03 -2.272e-03
-2.977e-04 -3.824e-03  3.330e-03  2.098e-04 -1.861e-03 -2.392e-03
-5.996e-04 -3.277e-03  3.672e-03  2.388e-04 -2.020e-03 -2.400e-03
-8.759e-04 -2.578e-03  3.767e-03  2.569e-04 -2.007e-03 -2.284e-03
-1.107e-03 -1.758e-03  3.621e-03  2.610e-04 -1.815e-03 -2.043e-03
-1.274e-03 -8.525e-04  3.257e-03  2.485e-04 -1.461e-03 -1.686e-03
-1.365e-03  9.876e-05  2.718e-03  2.178e-04 -9.859e-04 -1.232e-03
-1.370e-03  1.052e-03  2.061e-03  1.683e-04 -4.478e-04 -7.032e-04
-1.287e-03  1.960e-03  1.350e-03  1.008e-04  9.376e-05 -1.205e-04
-1.120e-03  2.777e-03  6.517e-04  1.700e-05  5.877e-04  4.989e-04
-8.767e-04  3.459e-03  2.814e-05 -7.955e-05  9.944e-04  1.138e-03
-5.739e-04  3.965e-03 -4.712e-04 -1.840e-04  1.283e-03  1.777e-03
-2.309e-04  4.263e-03 -8.131e-04 -2.899e-04  1.432e-03  2.393e-03
 1.289e-04  4.329e-03 -9.847e-04 -3.897e-04  1.433e-03  2.963e-03
 4.806e-04  4.155e-03 -9.938e-04 -4.751e-04  1.296e-03  3.459e-03
 7.999e-04  3.744e-03 -8.684e-04 -5.375e-04  1.042e-03  3.853e-03
 1.064e-03  3.119e-03 -6.522e-04 -5.686e-04  6.983e-04  4.115e-03
 1.256e-03  2.317e-03 -3.991e-04 -5.611e-04  2.956e-04  4.214e-03
 1.361e-03  1.389e-03 -1.663e-04 -5.098e-04 -1.355e-04  4.126e-03
 1.373e-03  3.964e-04 -6.593e-06 -4.118e-04 -5.630e-04  3.835e-03
 1.294e-03 -5.905e-04  3.880e-05 -2.678e-04 -9.568e-04  3.335e-03
 1.130e-03 -1.502e-03 -5.458e-05 -8.487e-05 -1.295e-03  2.631e-03
 8.965e-04 -2.273e-03 -2.905e-04  1.181e-04 -1.563e-03  1.742e-03
 6.112e-04 -2.849e-03 -6.518e-04  3.097e-04 -1.749e-03  6.994e-04
 2.972e-04 -3.191e-03 -1.102e-03  4.580e-04 -1.835e-03 -4.493e-04
-2.125e-05 -3.280e-03 -1.589e-03  5.455e-04 -1.803e-03 -1.637e-03
-3.203e-04 -3.117e-03 -2.054e-03  5.731e-04 -1.637e-03 -2.787e-03
-5.784e-04 -2.724e-03 -2.435e-03  5.549e-04 -1.322e-03 -3.819e-03
-7.779e-04 -2.142e-03 -2.677e-03  5.055e-04 -8.525e-04 -4.650e-03
-9.067e-04 -1.424e-03 -2.737e-03  4.320e-04 -2.403e-04 -5.194e-03
-9.590e-04 -6.365e-04 -2.590e-03  3.394e-04  4.701e-04 -5.364e-03
-9.352e-04  1.540e-04 -2.233e-03  2.354e-04  1.194e-03 -5.110e-03
